Index,Question: Synonyms and Antonyms,Correct Answer,Wrong Answers,,Reference Text,Question: Reading Comprehension,Correct Answer,Wrong Answers,,Question / Instruction: Grammar,Correct Answer,Wrong Answers,,Question / Instruction: Spelling,Correct Answer,Wrong Answers,Explanation,,Question / Instruction: Vocabulary and Paragraph Arangement,Correct Answer,Wrong Answers
1,1. Which word means the same as enthusiastic?,eager,"adamant, available, cheerful",,"If you are a fitness walker, there is no need for a
commute to a health club. Your neighborhood can
be your health club. You do not need a lot of fancy
equipment to get a good workout, either. All you
need is a well-designed pair of athletic shoes.",1. This paragraph best supports the statement that,fitness walking is a convenient and valuable form of exercise.,"fitness walking is a better form of exercise than weight lifting.


a membership in a health club is a poor investment.


walking outdoors provides a better workout than walking indoors.",,"1. Look for run-on sentences or sentence fragments. Choose the answer choice that does NOT express a correct, complete sentence.",The train leaving the station.,"Manuel wanted to complete all of his courses so he could get his degree.


She couldn’t believe the premise of the story.


no mistakes",,1. It is my [_____] that municipal employees handle their jobs with great professionalism.,belief,"beleif


bilief


beleaf",-,,1. Sila ay nagdadamayan sa hirap at ginhawa. Sila ay totoong “naghihiramang suklay”,magkaibigan,"mag asawa


magkapatid


magka anak"
2,2. Which word means the same as adequate?,sufficient,"mediocre, proficient, average",,"Critical reading is a demanding process. To read critically, you must slow down your reading and, with pencil in hand, perform specific operations on the text. Mark up the text with your reactions, conclusions, and questions. In other words, when you read, become an active participant.",2. This paragraph best supports the statement that,critical reading requires thoughtful and careful attention.,"critical reading is a slow, dull, but essential process.


the best critical reading happens at critical times in a person’s life.


readers should get in the habit of questioning the truth of what they read.",,"2. Look for run-on sentences or sentence fragments. Choose the answer choice that does NOT express a correct, complete sentence.",I can’t wait Janet can’t either.,"At the end of the day, they hoped to be finished with all tasks.


When will you teach me how to cook like you do?


no mistakes",,2. The accounting firm was [_____] for fraudulent practices.,prosecuted,"prossecuted


prosecutted


prosecuited",-,,2. There is no PANACEA that will solve our financial difficulty.,cure-all,"answer


paradox


criteria"
3,3. Which word means the same as ecstatic?,thrilled,"inconsistent, positive, wild",,"One New York publisher has estimated that 50,000 to 60,000 people in the United States want an anthology that includes the complete works of William Shakespeare. What accounts for this renewed interest in Shakespeare? As scholars point out, his psychological insights into both male and female characters are amazing, even today.",3. This paragraph best supports the statement that,people today are interested in Shakespeare’s work because of the characters.,"Shakespeare’s characters are more interesting than fictional characters today.


academic scholars are putting together an anthology of Shakespeare’s work.


New Yorkers have a renewed interest in the work of Shakespeare.",,"3. Look for run-on sentences or sentence fragments. Choose the answer choice that does NOT express a correct, complete sentence.","The children in the park, including all of the girls on the swings.","The medieval literature class was very interesting.


Christina is an excellent elementary school teacher.


no mistakes",,3. Every [_____] has to be handled differently.,situation,"sittuation


situachun


sitiation",-,,3. DEBACLE,disaster,"introduction


conflict


assault"
4,4. Which word means the same as affect?,influence,"accomplish, cause, sicken",,There are no effective boundaries when it comes to pollutants. Studies have shown that toxic insecticides—already banned in many countries—are riding the wind from countries where they remain legal. Compounds such as DDT and toxaphene have been found in remote places like the Yukon and other Arctic regions.,4. This paragraph best supports the statement that,bans on toxins have done little to stop the spread of pollutants.,"more pollutants find their way into polar climates than they do into warmer areas.


studies show that many countries have ignored their own anti-pollution laws.


DDT and toxaphene are the two most toxic insecticides in the world.",,"4. Look for run-on sentences or sentence fragments. Choose the answer choice that does NOT express a correct, complete sentence.",no mistakes.,"Sandra Day O’Connor was the first woman to serve on the U.S. Supreme Court.


You visited the presidential library of Lyndon B. Johnson.


I saw Dr. Sultana because Dr. Das was on vacation.",,4. It was a [_____] day for the department’s annual picnic.,superb,"supperb


supurb


sepurb",-,,4. LAGASAW,tunog ng alon,"tunog ng pag-iyak


tunog ng hangin


tunog ng busina"
5,5. Which word means the same as continuous?,uninterrupted,"intermittent, adjacent, contiguous",,The Fourth Amendment to the Constitution protects citizens against unreasonable searches and seizures. No search of a person’s home or personal effects may be conducted without a written search warrant issued on probable cause. This means that a neutral judge must approve the factual basis justifying a search before it can be conducted.,5. This paragraph best supports the statement that police officers cannot search a person’s home or private papers unless they have,legal authorization.,"direct evidence of a crime.


read the person his or her constitutional rights.


a reasonable belief that a crime has occurred.",,"5. Look for run-on sentences or sentence fragments. Choose the answer choice that does NOT express a correct, complete sentence.",Turn off the television it’s time for dinner!,"What is the best route to Philadelphia?


The artichokes cost more than the asparagus does.


no mistakes.",,"5. To be elected [_____], candidates must have a solid background in law enforcement.",sheriff,"sherrif


sherriff


sherif",-,,5. KABAL,agimat,"sepal


kaban


unawa"
6,6. Which word means the same as courtesy?,civility,"congruity, conviviality, rudeness",,"Mathematics allows us to expand our consciousness. Mathematics tells us about economic trends, patterns of disease, and the growth of populations. Math is good at exposing the truth, but it can also perpetuate misunderstandings and untruths. Figures have the power to mislead people.",6. This paragraph best supports the statement that,the study of mathematics can be both beneficial and confusing.,"the study of mathematics is dangerous.


the study of mathematics is more important than other disciplines.


the power of numbers is that they cannot lie.",,"6. Look for run-on sentences or sentence fragments. Choose the answer choice that does NOT express a correct, complete sentence.",The rest of the story coming to you later.,"Baseball is the national pastime of the United States.


Ernest Hemingway won the Nobel Prize for Literature.


no mistakes.",,"6. To be hired for the job, he needed to have [_____] ability.",mechanical,"mechinical


mechenical


machanical",-,,6. HAGINIT,harurot,"hagikhik


hambalang


handusay"
7,7. Which word means the same as frail?,delicate,"vivid, robust, adaptable",,"Human technology began with the development of the first stone tools about two and a half million years ago. In the beginning, the rate of development was slow, and hundreds of thousands of years passed without many technological changes. Today, new technologies are reported daily on television and in newspapers.",7. This paragraph best supports the statement that,"in today’s world, new technologies are constantly being developed.","stone tools were not really technology.


stone tools were in use for two and a half million years.


there is no way to know when stone tools first came into use.",,"7. Look for run-on sentences or sentence fragments. Choose the answer choice that does NOT express a correct, complete sentence.",no mistakes,"The sky was a brilliant blue this morning.


John is an avid stamp collector.


Elvis Presley’s home is in Memphis, Tennessee.",,7. The agents were searching for [_____] cargo on the airplane.,illicit,"elicitt


ellicit


illicet","This word should not be confused with elicit, which means to draw out or extract.",,7. DALAHIKAN,daungan,"istambayan


palaruan


dagat"
8,8. Which word means the same as recuperate?,mend,"endorse, persist, worsen",,"Ratatouille is a dish that has grown in popularity over the last few years. It features eggplant, zucchini, tomato, peppers, and garlic chopped, mixed, sautéed, and finally, cooked slowly over low heat. As the vegetables cook slowly, they make their own broth, which can be extended with a little tomato paste. The name ratatouille comes from the French word touiller, meaning to mix or stir together.",8. Which of the following is the correct order of steps for making ratatouille?,"Mix the vegetables together, sauté them, and add tomato paste.","Chop vegetables, add tomato paste, stir or mix together.


Cook the vegetables slowly, mix them together, add tomato paste.


Add tomato paste to extend the broth and cook slowly over low heat.",,"8. Look for run-on sentences or sentence fragments. Choose the answer choice that does NOT express a correct, complete sentence.",The county executive a person who works very hard.,"If you see a grizzly bear, do not make any sudden movements.


The national park system in the United States preserves land for all to enjoy.


no mistakes",,8. There will be an immediate [_____] into the cause of the accident.,inquiry,"inquirry


enquirry


enquery",-,,8. FORBEARANCE,patience,"attitude


stubbornness


generosity"
9,9. Which word means the same as meager?,scarce,"majestic, tranquil, adequate",,"Ratatouille is a dish that has grown in popularity over the last few years. It features eggplant, zucchini, tomato, peppers, and garlic chopped, mixed, sautéed, and finally, cooked slowly over low heat. As the vegetables cook slowly, they make their own broth, which can be extended with a little tomato paste. The name ratatouille comes from the French word touiller, meaning to mix or stir together.",9. Ratatouille can best be described as a,vegetable stew.,"French pastry.


sauce to put over vegetables.


pasta dish extended with tomato paste.",,9. Choose the sentence that uses commas correctly.,"My best friend, James is always on time.","Ecstatic the winner, hugged her coach.


As far as I know, that room is empty.


Maureen my cousin, is going to Hawaii in August.",,9. The union workers’ contract could not be [_____] before the calendar year ended.,terminated,"termenated


terrminated


termanated",-,,9. ALLEGIANCE,loyalty,"solemnity


intelligence


sincerity"
10,10. Which word means the same as composure?,poise,"agitation, liveliness, stimulation",,"After a snow or ice fall, the city streets are treated with ordinary rock salt. In some areas, the salt is combined with calcium chloride, which is more effective in below-zero temperatures and which melts ice better. This combination of salt and calcium chloride is also less damaging to foliage along the roadways.","10. In deciding whether to use ordinary rock salt or the salt and calcium chloride mixture on a particular street, which of the following is NOT a consideration?",whether the street is a main or secondary road,"the temperature at the time of treatment


the plants and trees along the street


whether there is ice on the street",,10. Choose the sentence that uses commas correctly.,"Concerned about her health, Jessica made an appointment to see a doctor.","Those sneakers are available in black tan red, and white.


After, checking our equipment you began our hiking trip.


Exhausted I climbed, into bed.",,10. A [_____] can be obtained at the town hall.,license,"lisense


lisence


lycence",-,,10. GRUNGY,dirty,"fashionable


brittle


warm"
11,11. Which word means the same as eccentric?,peculiar,"normal, frugal, selective",,"After a snow or ice fall, the city streets are treated with ordinary rock salt. In some areas, the salt is combined with calcium chloride, which is more effective in below-zero temperatures and which melts ice better. This combination of salt and calcium chloride is also less damaging to foliage along the roadways.","11. According to the snow treatment passage, which of the following is true?","If the temperature is below zero, a salt and calcium chloride mixture is effective in treating snow- and ice-covered streets.","Crews must wait until the snow or ice stops falling before salting streets.


Major roads are always salted first.


If the snowfall is light, the city road crews will not salt the streets because this would be a waste of the salt supply.",,11. Choose the sentence that uses commas correctly.,"Hoping for the best, I called Dan.","You visited England, France Spain, and Italy.


You can have chocolate ice cream or, you can have a dish of vanilla pudding.


Timothy, however will attend a community college in the fall.",,"11. In many states, passing a road test requires drivers to [_____] park.",parallel,"paralel


paralell


parallal",-,,11. PROSCRIBE,forbid,"record


promote


interpret"
12,12. Which word means the same as commendable?,admirable,"accountable, irresponsible, noticeable",,"Many cities have distributed standardized recycling containers to all households. One city attached the following directions: “We prefer that you use this new container as your primary recycling container, as this will expedite pick-up of recyclables. Additional recycling containers may be purchased as needed from the Sanitation Department.”","12. According to the passage, each household",should use the new recycling container.,"may use only one recycling container.


must use the new recycling container.


must buy a new recycling container.",,12. Choose the sentence that uses commas correctly.,"My physician, Dr. O’Connor, told me I was very healthy.","Max was the most physically fit and he won the 5K, race.


Shortly she will answer, all messages.


Bonnie was outgoing friendly, and sociable.",,12. The paramedics attempted to [_____] the victim.,stabilize,"stablize


stableize


stableise",-,,12. HULAS,lusaw,"litaw


hilaw


durog"
13,13. Which word means the same as passive?,inactive,"emotional, lively, woeful",,"Many cities have distributed standardized recycling containers to all households. One city attached the following directions: “We prefer that you use this new container as your primary recycling container, as this will expedite pick-up of recyclables. Additional recycling containers may be purchased as needed from the Sanitation Department.”","13. According to the passage, which of the following is true about the new containers?",The new containers will help increase the efficiency of the recycling program.,"The new containers are far better than other containers in every way.


The new containers hold more than the old containers did.


The new containers are less expensive than the old.",,13. Choose the sentence that uses commas correctly.,"I like jazz, classical, and blues music.","After his vacation to the Caribbean Art, decided to learn scuba diving.


My good friend, Melanie sent me a picture of her new puppy.


The abundant, blue, violets were scattered everywhere in the woodland garden.",,13. The attorney asked a question that was [_____] to the case; the judge overruled it.,irrelevant,"irelevent


irelevant


irrelevent",-,,13. DALAHIRA,tsismosa,"matulungin


pustura


madalasin"
14,14. Which word means the same as vast?,immense,"attentive, steady, slight",,"Spices is a pleasant word, whether it connotes fine French cuisine or down-home cinnamon-flavored apple pie. [_____]. In the past, individuals traveled the world seeking exotic spices for profit and, in searching, have changed the course of history. Indeed, to gain control of lands harboring new spices, nations have actually gone to war.",14. Choose the topic sentence that best fits the paragraph.,"The history of spices, however, is another matter altogether, and it can be filled with danger and intrigue.","The taste and aroma of spices are the main elements that make food such a source or fascination and pleasure.


The term might equally bring to mind Indian curry made thousands of miles away or those delicious barbecued ribs sold down at Harry’s.


It is exciting to find a good cookbook and experiment with spices from other lands—indeed, it is one way to travel around the globe.",,"14. Choose the sentence or phrase that has a mistake in capitalization or punctuation. If you find no mistakes, select choice d.",My favorite season is Spring.,"Last Monday, Aunt Ruth took me shopping.


You elected Ben as treasurer of the freshman class.


no mistakes",,14. The mayor highlighted the [_____] statistics during her campaign speech.,encouraging,"encouredging


incurraging


incouraging",-,,14. BARAL,trangka,"metal


santo


sulat"
15,15. Which word means the same as comply?,obey,"subdue, entertain, flatter",,"It weighs less than three pounds and is hardly more interesting to look at than an overly ripe cauliflower. [_____]. It has created poetry and music, planned and executed wars, devised intricate scientific theories. It thinks and dreams, plots and schemes, and easily holds more information than all the libraries on Earth.",15. Choose the topic sentence that best fits the paragraph.,"Nevertheless, the human brain is the most mysterious and complex object on earth.","The human brain is made of gelatinous matter and contains no nerve endings.


The science of neurology has found a way to map the most important areas of the human brain.


However, scientists say that each person uses only 10% of brainpower over the course of a lifetime.",,"15. Choose the sentence or phrase that has a mistake in capitalization or punctuation. If you find no mistakes, select choice d.",The boys’ wore identical sweaters.,"He shouted from the window, but you couldn’t hear him.


NASA was launching its first space shuttle of the year.


no mistakes",,"15. Choose the misspelled word, or select ""no mistakes"":

radios, leaves, alumni",no mistakes,"radios


leaves


alumni",-,,15. DULANG,mahabang hapag,"uri ng isda


malungkot na drama


makasaysayang tula"
16,16. JOURNAL,diary,"trip, receipt, list",,"Gary is a very distinguished-looking man with a touch of gray at the temples. Even in his early fifties, he is still the one to turn heads. He enjoys spending most of his time admiring his profile in the mirror. In fact, he considers his good looks to be his second most important asset in the world. The first, however, is money. He was fortunate enough to be born into a wealthy family, and he loves the power his wealth has given him. [_____]. He can buy whatever he desires. Gary checks the mirror often and feels great delight with what he sees.",16. Choose the topic sentence that best fits the paragraph.,Conceit is the beginning and the end of Gary’s character: conceit of person and situation.,"Gary’s gray hair is his worst characteristic.


Gary feels blessed to be wealthy and the joy consumes his every thought.


The only objects of Gary’s respect are others who hold positions in society above him.",,"16. Choose the sentence or phrase that has a mistake in capitalization or punctuation. If you find no mistakes, select choice d.",Occasionally someone will stop and ask for directions.,"When you come to the end of Newton Road, turn left onto Wilson Street.


Lauren’s father is an auto mechanic.


no mistakes",,"16. Choose the misspelled word, or select ""no mistakes"":

anouncement, advisement, description",anouncement,"advisement


description


no mistakes",The correct spelling is announcement.,,16. GULA-GULANIT,punit-punit,"lukot-lukot


iba-ibang kulay


buhol-buhol"
17,17. OPPORTUNITY,chance,"sensitivity, arrogance, reference",,"Life on Earth is ancient, and at its first appearance, unimaginably complex.",17. Choose the sentence that best develops or supports the topic sentence.,"Scientists place its beginnings at some three billion years ago, when the first molecule floated up out of the ooze with the unique ability to replicate itself.","The most complex life form is, of course, the mammal—and the most complex mammal is humankind.


It is unknown exactly where life started—where the first molecule was “born” that had the ability to replicate itself.


Darwin’s theory of evolution was one attempt to explain what essentially remains a great mystery.",,"17. Choose the sentence or phrase that has a mistake in capitalization or punctuation. If you find no mistakes, select choice d.",This is someone elses coat.,"That book must be yours.


Don B. Norman was one of the founders of the community.


no mistakes",,"17. Choose the misspelled word, or select ""no mistakes"":

omission, aisle, litrature",litrature,"omission


aisle


no mistakes",The correct spelling is literature.,,17. LAGAK,deposito,"tuyot


tungga


pigtal"
18,18. INVENT,discover,"insert, apply, allow",,"The continuing fascination of the public with movie star Marilyn Monroe is puzzling, yet it is still strong, even after many decades.",18. Choose the sentence that best develops or supports the topic sentence.,One reason might simply be her life’s sad and premature end.,"She became a star in the 1950s and died in 1962.


The film that most clearly demonstrates her talent is The Misfits.


Her name was originally Norma Jean, but she changed it to Marilyn.",,"18. Choose the sentence or phrase that has a mistake in capitalization or punctuation. If you find no mistakes, select choice d.",The US flag should be flown proudly.,"She served eggs, toast, and orange juice for breakfast.


He wanted turkey, lettuce, and mayonnaise on his sandwich.


no mistakes",,"18. Choose the misspelled word, or select ""no mistakes"":

informal, servent, comfortable",servent,"informal


comfortable


no mistakes",The correct spelling is servant.,,18. DALAHIKAN,daungan,"istambayan


palaruan


dagat"
19,19. SPHERE,globe,"air, spread, enclosure",,One scientific theory of the origin of the universe is the much misunderstood big bang theory.,19. Choose the sentence that best develops or supports the topic sentence.,"The popular notion is that the big bang was a huge explosion in space, but this is far too simple a description.","Physicists now believe they can construct what happened in the universe during the first three minutes of its beginning.


Many scientists believe that, during microwave experiments, you can actually “hear” echoes of the big bang.


The big bang theory, if accepted, convinces us that the universe was not always as it is now.",,"19. Choose the sentence or phrase that has a mistake in capitalization or punctuation. If you find no mistakes, select choice d.","Sincerely, yours","Dear Anne,


Yours truly,


no mistakes",,"19. Choose the misspelled word, or select ""no mistakes"":

vegetable, width, variation",no mistakes,"vegetable


width


variation",-,,19. CANTANKEROUS,quarrelsome,"ill-advised


offensive


greasy"
20,20. REFINE,purify,"condone, provide, change",,"There is no instruction by the old bird in the movements of flight, no conscious imitation by the young.",20. Choose the sentence that best develops or supports the topic sentence.,"The most obvious way in which birds differ from humans in behavior is that they can do all that they have to do, without ever being taught.","More extraordinary than a bird being able to fly untaught is that it is able to build a nest untaught.


Young birds frequently make their first flights with their parents out of sight.


Young birds brought up by hand in artificial nests will build the proper kind of nest for their species when the time comes.",,20. Choose the correct verb form: I am trying to become more skilled at weaving before winter [_____].,arrives.,"arrived.


will have arrived.


will arrive.",,"20. Choose the misspelled word, or select ""no mistakes"":

twentieth, fortieth, ninetieth",no mistakes,"twentieth


fortieth


ninetieth",-,,20. PERAMBULATE,walk,"move back and forth


disbelieve


investigate"
21,21. PLEDGE,promise,"picture, idea, quote",,The reintroduced wolves are producing more offspring than expected.,21. Choose the sentence that best develops or supports the topic sentence.,The gray wolf will be taken off the list of endangered species in the northern Rocky Mountains when ten breeding pairs reside in a region for three years.,"Ranchers and some biologists are protesting the reintroduction of the wolves.


There are active efforts to reintroduce wolves to national parks in the United States.


The success of an attempt to reintroduce red wolves to parts of North Carolina is not yet clear.",,"21. Choose the correct verb form: While trying to [_____] his cat from a tree, he fell and hurt himself.",rescue,"be rescuing


have rescued


rescuing",,"21. Choose the misspelled word, or select ""no mistakes"":

association, unecessary, illegal",unecessary,"association


illegal


no mistakes",The correct spelling is unnecessary.,,21. A pretty penny means _____________.,"If something costs a pretty penny, it is very expensive.","If something costs a pretty penny, it is very inexpensive.


If something costs a pretty penny, it is very precious.


If something costs a pretty penny, it is very unimportant."
22,22. GANGLY,lanky,"illegally, closely, ugly",,The Puritans established a wide variety of punishments to enforce their strict laws.,22. Choose the sentence that best develops or supports the topic sentence.,"Today, many of the punishments used by the Puritans in Massachusetts Bay seem cruel and excessive.","The Puritans believed that some lawbreakers should be shamed in public by the use of stocks and the pillory.


Disobedient children would feel the sting of the whip.


The Eighth Amendment of the Bill of Rights prohibits cruel and unusual punishment.",,22. Choose the correct verb form: The volunteers from the fire department [_____] quickly and extinguished a fire on North Country Road.,responded,"will respond


will have responded


have responded",,"22. Choose the misspelled word, or select ""no mistakes"":

villin, volunteer, voracious",villin,"volunteer


voracious


no mistakes",The correct spelling is villain.,,22. Come out of your shell means _____________.,"If someone comes out of their shell, they stop being shy and withdrawn and become more friendly and sociable.","If someone comes in of their shell, they never stop being shy and withdrawn and become more unfriendly and sociable.


If someone comes out of their shell, they never stop being shy and withdrawn and become more friendly and sociable.


If someone comes in of their shell, they stop being shy and withdrawn and become more un friendly and unsociable."
23,23. SAGE,wise,"obnoxious, conceited, heartless",,Irish Catholics continued to fight against British rule.,23. Choose the sentence that would make the best topic sentence.,Political violence has claimed many lives in Northern Ireland.,"The struggle today is over the control of these six counties.


For centuries, all of Ireland was ruled by Great Britain.


Six counties in the north—where Protestants outnumber Catholics two to one—remained a part of Great Britain and became known as Northern Ireland.",,"23. Choose the correct verb form: In Tuesday’s paper, the owner of the supermarket was recognized for helping a customer who [_____] on the icy sidewalk.",had fallen,"falls


would fall


has fallen",,"23. Choose the misspelled word, or select ""no mistakes"":

hindrence, equipped, possessive",hindrence,"equipped


possessive


no mistakes",The correct spelling is hindrance.,,23. Derring-do means _________.,"If a person shows derring-do, they show great courage.","If a person shows derring-do, they show unwillingness.


If a person shows derring-do, they show shyness.


If a person shows derring-do, they show pettiness."
24,24. NAVIGATE,steer,"search, decide, assist",,"In Oklahoma, a girl is forbidden to take a bite from her date’s hamburger.",24. Choose the sentence that would make the best topic sentence.,"It may be hard to believe, but these strange laws are still on the books!","It is illegal for teenagers to take a bath during the winter in Clinton, Indiana.


On Sunday, children may not spin yo-yos in Memphis, Tennessee.


It is illegal to parade an elephant down Main Street in Austin, Texas.",,24. Choose the correct verb form: The people who bought this old lamp at the antique auction [_____] very smart.,were,"was


is


has been",,"24. Choose the misspelled word, or select ""no mistakes"":

procedure, judgment, testamony",testamony,"procedure


judgment


no mistakes",The correct spelling is testimony.,,24. Hot water means ___________.,"If you get into hot water, you get into trouble.","If you get into hot water, you get a lucky day.


If you get into hot water, you get a bad day.


If you get into hot water, you get a burn skin."
